area,category,name,oneword,mainimage,address,time,price,seats,other,tel,gmap,url,lat,lng
福井駅前エリア,Bar,白亜,ウイスキーとピアノ生演奏に酔いしれて・・・,https://fukui-night.com/wp-content/uploads/2024/04/白亜.jpg,福井市大手2-6-4　マルダイビル1F,19:00～25:00,"10,000円",カウンター13席,,050-8885-2890,https://maps.app.goo.gl/sws74hTqNfseboHdA,https://fukui-night.com/store/store_cat/fukuiekimae/#1,36.0629131,136.222347
福井駅前エリア,和,旬香逎燈 煙や,厳選された新鮮素材と、地酒をはじめ70種類以上の日本酒をご用意。,https://fukui-night.com/wp-content/uploads/2024/04/煙や.webp,福井市大手2-7-23,17:30〜0:00,"6,000～7,999円",90席,個室あり,050-5486-7791,https://maps.app.goo.gl/D13opbNARpMQLnro7,https://fukui-night.com/store/store_cat/fukuiekimae/#2,36.063057,136.2221029
福井駅前エリア,肉,牛成,和牛焼き肉をメインに扱う焼き肉店,https://fukui-night.com/wp-content/uploads/2024/04/牛成-3.jpeg,福井市中央1-8-1 西武福井店 8F,17:00〜22:00,"6,000～7,000円",54席,,0776-23-6370,https://maps.app.goo.gl/6Fm6Wcvb3koVJojPA,https://fukui-night.com/store/store_cat/fukuiekimae/#3,36.0618729,136.2188544
福井駅前エリア,Bar,THE BAR 灯火,500種類以上の洋酒からカクテルまで、福井らしい和モダンの空間で。,https://fukui-night.com/wp-content/uploads/2024/04/灯火.jpg,福井市大手2-6-5 プラザホテルビル 2F,19:00〜2:00,"4,000～4,999円",14席(カウンター6席/テーブル2席(最大4名まで）),店内禁煙。店内に喫煙スペースあり。,0776-28-2234,https://maps.app.goo.gl/Re8EF9sReikB9d1JA,https://fukui-night.com/store/store_cat/fukuiekimae/#4,36.0627901,136.2222975
片町エリア,クラブ・ラウンジ,SOHMA CLUB,癒しとくつろぎの空間で安らぎのひとときを･･･。,https://fukui-night.com/wp-content/uploads/2024/04/SOHMA-CLUB.jpg,福井市順化2-22-3　TMビルB1,20:00～0:30,"6,000円～",カウンタ―5人/ボックス4/VIP1 (収容人数 25人),,0776-25-3335,https://maps.app.goo.gl/4TktHH5kFBViuPxKA,https://fukui-night.com/store/store_cat/katamachi/#1,36.066755,136.215116
片町エリア,クラブ・ラウンジ,ラウンジSAYA,カラオケ付きの個室もあり多様な飲み方でお楽しみ頂けます,https://fukui-night.com/wp-content/uploads/2024/04/SAYA.jpeg,福井市順化1丁目17-5キムラビル3階,19:30〜0:30,"15,000円〜(セット料金6,000円/ボトル8,000円〜)",ボックス3/カウンター4席/カラオケルーム1部屋,,0776-21-0038,https://maps.app.goo.gl/bJWbYZiyrV38FHfv8,https://fukui-night.com/store/store_cat/katamachi/#2,36.0655551,136.215212
片町エリア,和,鮨処海月,福井県産の食材を中心にお食事を楽しんで頂いております。,https://fukui-night.com/wp-content/uploads/2024/04/鮨処海月.jpeg,福井市順化1-10-2,17:00〜23:00,"15,000円",9席,貸切は8名様からです。,0776-22-7776,https://maps.app.goo.gl/VGfcNQBhuLz36LvcA,https://fukui-night.com/store/store_cat/katamachi/#3,36.0636739,136.2167354
片町エリア,洋,シェシーマ,福井市片町で美味しいビストロ、イタリアンを皆様にご提供していきたいです。シャンパンやワインもフランスを中心に取り揃えています。,https://fukui-night.com/wp-content/uploads/2024/04/シェシーマ.jpeg,福井市順化2-8-11,18:00〜22:00,"8,000円〜10,000円",テーブル2卓/カウンター5席,,0776-27-1388,https://maps.app.goo.gl/b6SiCEc85DSPZ6GS8,https://fukui-night.com/store/store_cat/katamachi/#4,36.0646724,136.2135333
片町エリア,Bar,BACCHUS,オーセンティックなバー,https://fukui-night.com/wp-content/uploads/2024/04/バッカス-scaled.jpeg,福井市順化1-17-10片町プルミエビル1F,19:00〜2:00,"3,600〜5,000円",カウンター12席/ボックス12席,,0776-25-5814,https://maps.app.goo.gl/tTTg2PeuJwMXWfVj7,https://fukui-night.com/store/store_cat/katamachi/#5,36.0660223,136.2154262
片町エリア,"洋, 肉, Bar",ミスターデヴ,洋食とワインのお店です,https://fukui-night.com/wp-content/uploads/2024/04/ミスターデブ-scaled.jpg,福井市順化1-17-5,18:00～1:00,"5,000～8,000円",28席,個室 10名様まであります,0776-25-1328,https://maps.app.goo.gl/h76phKj3dkkPUcsg6,https://fukui-night.com/store/store_cat/katamachi/#6,36.0656109,136.2153213
片町エリア,クラブ・ラウンジ,アリエス,幅広い年齢層のキャストを揃えています???? お客様のご期待は裏切りません！✨,https://fukui-night.com/wp-content/uploads/2024/04/アリエス-scaled.jpg,福井市順化2丁目20-13,19:30～25:00,"10,000円～",50人,,0776-27-2737,https://maps.app.goo.gl/4wqQsYKDW7ybbAQm6,https://fukui-night.com/store/store_cat/katamachi/#7,36.0660876,136.2148298
片町エリア,"洋, 肉",ブシェリ片町×板長バル,厳選した熟成牛ステーキや様々な一品料理が取り揃えた肉バル,https://fukui-night.com/wp-content/uploads/2024/04/板長バル.jpeg,福井市順化二丁目21-17-2F,17:30〜24:00,"4,000〜7,000円",50人,落ち着いた空間　福井の地酒やワイン有,0776-29-2229,https://maps.app.goo.gl/aH6v4gtgdpDqGexf8,https://fukui-night.com/store/store_cat/katamachi/#8,36.066474,136.215212
片町エリア,そば,越前蕎麦dining 櫻庭,本格的な越前十割蕎麦と福井の地酒をご堪能ください。,https://fukui-night.com/wp-content/uploads/2024/04/櫻庭.jpeg,福井市順化1丁目23-3,20:00〜25:30,"2,000〜3,000円",テーブル4卓/カウンター8席(25人),姉妹店 喬の膳櫻庭はランチも営業しております。,0776-22-7338,https://maps.app.goo.gl/mmCYVuYqm3uhwvYD8,https://fukui-night.com/store/store_cat/katamachi/#9,36.066045,136.2166932
片町エリア,クラブ・ラウンジ,J’ADORE(ジャドール),20代〜40代までの女性がおります。ボックスやカウンターも広々と座って頂けます。,https://fukui-night.com/wp-content/uploads/2024/04/ジャドール-scaled.jpeg,福井市順化2丁目13-1,20:00〜1:00,"セット7,000円 ボトル10,000円〜",約40人,,080-4022-5532,https://maps.app.goo.gl/WhCT4qYy5JxgKQQu7,https://fukui-night.com/store/store_cat/katamachi/#10,36.0649967,136.2148234
片町エリア,クラブ・ラウンジ,GLITTER,店内は和紙を基調に設えており、落ち着いた雰囲気で過ごしやすい空間となっております。,https://fukui-night.com/wp-content/uploads/2024/04/GLITTER.jpeg,福井市順化2丁目13-1セントビュー片町3F,8:00～25:00,"10,000円",30人,,080-1951-7321,https://maps.app.goo.gl/YJfzN4tEDjEdNkBy7,https://fukui-night.com/store/store_cat/katamachi/#11,36.0650015,136.2148148
片町エリア,クラブ・ラウンジ,Lounge 呼詩 YOSHI,福井No.1女性が集う店。VIPルーム、カラオケルーム等多様なスペースを用意しています。,https://fukui-night.com/wp-content/uploads/2024/04/ラウンジYOSHI.png,福井市順化2丁目20-2　エルミオーレ3F4F,20:00〜0:30,"15,000円～(セット7,000円)",3F 約20席/4F 約15席,,0776-50-6103,https://maps.app.goo.gl/zTY1JDiyeis25fcW9,https://fukui-night.com/store/store_cat/katamachi/#12,36.0657222,136.2148554
片町エリア,和,いわし屋,伝統と趣のある純和風料理。越前蟹もご賞味ください。,https://fukui-night.com/wp-content/uploads/2024/04/いわしや.jpg,福井市順化2丁目14-15,11:00〜22:00,"10,000～15,000円",180席,個室あり 完全予約制,0776-21-5848,https://maps.app.goo.gl/Zw4DjxyGV1pqpdGN9,https://fukui-night.com/store/store_cat/katamachi/#13,36.0655769,136.213918
片町エリア,和,御料理 一燈,“北陸の味”を贅沢に堪能できる一軒,https://fukui-night.com/wp-content/uploads/2024/04/御料理-一燈.jpg,福井市春山2丁目1-7,18:00～22:00,"20,000～29,999円",カウンター5席/個室2～4名 2室  6～8名 2室,個室あり,050-5456-3816,https://maps.app.goo.gl/1AH1HZjYByZ7j432A,https://fukui-night.com/store/store_cat/katamachi/#14,36.067336,136.214828
片町エリア,和,福井割烹 望月,料理を愉しむ割烹。ゆったりと望月のひと時をお過ごしください。,https://fukui-night.com/wp-content/uploads/2024/04/望月.jpg,福井市春山2丁目4-4　タカシマビル1F,18:00～22:00,"10,000～13,000円",17席,個室あり,0776-28-0028,https://maps.app.goo.gl/zELZbYnYHokX4pqt5,https://fukui-night.com/store/store_cat/katamachi/#15,36.0674481,136.2140562
片町エリア,和,猿の盃,"福井の素材を活かした""ちょっといい居酒屋""",https://fukui-night.com/wp-content/uploads/2024/04/猿の盃.jpg,福井市順化2-21-1,17:30〜0:00,"5,000～5,999円",36席,個室あり,0776-29-7205,https://maps.app.goo.gl/W15bUyrwLdfkHSZs5,https://fukui-night.com/store/store_cat/katamachi/#16,36.0662523,136.2151891
片町エリア,和,割烹 青とも,旬の素材を厳選した一品を堪能する、カウンター割烹,https://fukui-night.com/wp-content/uploads/2024/04/青とも.jpg,福井市順化2-19-12 森ビル 2F,18:00〜21:45,"5,000～8,000円",カウンター6席/個室2部屋,個室あり,0776-65-0000,https://maps.app.goo.gl/T8M2fnu3G6EWgem7A,https://fukui-night.com/store/store_cat/katamachi/#17,36.0662389,136.2139814
片町エリア,和,料理屋 みや﨑,旬の食材を最高の形で。,https://fukui-night.com/wp-content/uploads/2024/04/みや崎.jpg,福井市順化1丁目12-4 福ビル,17:30〜24:00(最終入店 20:00),"15,000～23,000円",7席,,0776-26-0565,https://maps.app.goo.gl/MzgC4w5ty12odLga7,https://fukui-night.com/store/store_cat/katamachi/#18,36.0644043,136.2170965
片町エリア,和,すし吉正,福井の美味しい米と酢と魚、酒。,https://fukui-night.com/wp-content/uploads/2024/04/すし吉正.jpg,福井市順化2-1-1 MasuMall1F,17:30～ 20:30～,"18,000円～",カウンター8席,,0776-63-6404,https://maps.app.goo.gl/Te1vADUAcfi1oea28,https://fukui-night.com/store/store_cat/katamachi/#19,36.0635032,136.2144673
片町エリア,和,鮨長,越前・若狭で採れる旬の魚を、最高のかたちで,https://fukui-night.com/wp-content/uploads/2024/04/鮨長.jpg,福井市順化2丁目13-14,17:00～0:00,"10,000円～",40席(カウンター8席/小上がり2つ、2階座敷8人部屋、4人部屋),,0776-23-3838,https://maps.app.goo.gl/j5DxYsQjchftKnYH6,https://fukui-night.com/store/store_cat/katamachi/#20,36.0654419,136.2146102
片町エリア,和,寿し吉田,福井らしさ溢れる素朴で上品な味付けをお召し上がりください。,https://fukui-night.com/wp-content/uploads/2024/04/寿し吉田.jpg,福井市順化1-11-15,17:00～22:00,"20,000～29,999円",35席,個室あり,0776-23-1066,https://maps.app.goo.gl/ZkDLjp1G8ggDLLT27,https://fukui-night.com/store/store_cat/katamachi/#21,36.0641109,136.2173862
片町エリア,和,串揚げ処　喜寿,旬にこだわった串揚げと一品料理を、ワイン、地酒、焼酎で。,https://fukui-night.com/wp-content/uploads/2024/04/喜寿.jpg,福井市順化1-12-19,18:00～23:00,"6,000～7,999円",カウンター席8～10席/テーブル席4人掛け 2つ,6名様から貸切でご利用いただけます,0776-28-7107,https://maps.app.goo.gl/Q8NUz5ceGCHtdadF7,https://fukui-night.com/store/store_cat/katamachi/#22,36.0644271,136.2173301
片町エリア,和,ご馳走純,福井の季節を感じる地物を割烹スタイルで。,https://fukui-night.com/wp-content/uploads/2024/04/ご馳走純.jpg,福井市順化2-12-6,17:00～23:00,"8,000～9,999円",カウンター8席/テーブル12席,,0776-25-5552,https://maps.app.goo.gl/RVtL9JNhgis4kNyq9,https://fukui-night.com/store/store_cat/katamachi/#23,36.0646319,136.2141442
片町エリア,和,天菊,,https://fukui-night.com/wp-content/uploads/2024/04/天菊.jpg,福井市順化1丁目14-4,17:30~20:00,"8,000～10,000円",カウンター7席,,0776-27-4628,https://maps.app.goo.gl/8X9yVrDmowoPr9Lm6,https://fukui-night.com/store/store_cat/katamachi/#24,36.064543,136.2162542
片町エリア,和,天春,ふくいの旬を楽しむ天ぷらに舌鼓,https://fukui-night.com/wp-content/uploads/2024/04/天春.jpg,福井市順化2-8-12,17:00〜21:00,"8,000～9,999円",27席（カウンター7席/テーブル12席/座式8席）,個室あり,0776-23-4727,https://maps.app.goo.gl/PuDontvmM4UNjwdA9,https://fukui-night.com/store/store_cat/katamachi/#25,36.0646244,136.2135834
片町エリア,肉,やきとり雷禅,高坂鶏も楽しめる、音と香りと素材でワンランク上の味わいを。,https://fukui-night.com/wp-content/uploads/2024/04/雷禅.jpg,福井市順化1-9-8 滝の街ビル1F,18:00～0:00,"10,000～14,999円",7席,コースのみ,0776-63-6094,https://maps.app.goo.gl/1k4i5tjsziLPcjV79,https://fukui-night.com/store/store_cat/katamachi/#26,36.064131,136.2161075
片町エリア,肉,平八,秘伝の味噌を使った、みそしゃぶをご堪能下さい。,https://fukui-night.com/wp-content/uploads/2024/04/平八.jpg,福井市順化2丁目10-14,17:30〜23:00,"6,000～7,999円",40名,個室あり,0776-28-0885,https://maps.app.goo.gl/TYevBadgL3kvvdGb8,https://fukui-night.com/store/store_cat/katamachi/#27,36.0652528,136.2128404
片町エリア,肉,ステーキ鐵船,想像を超えた「肉」の感動を,https://fukui-night.com/wp-content/uploads/2024/04/ステーキ鐵船.jpg,福井市順化1-15-16,11:00～22:00(L.O. 21:00),"15,000円～",個室2～6名×4 テーブル席25席,予約のみ,0776-22-0069,https://maps.app.goo.gl/TBhwShvusMTXcAPQ6,https://fukui-night.com/store/store_cat/katamachi/#28,36.0653301,136.2158593
片町エリア,肉,あぶり牧場 あん,ボリューム抜群の、贅沢タン丸一本切りもご賞味ください,https://fukui-night.com/wp-content/uploads/2024/04/あぶり牧場あん.png,福井市順化2-21-4 加賀ビル 2F,17:00～2:00,"5,000円～",80席,,0776-28-2901,https://maps.app.goo.gl/J7kvWgDDyLNHWJRG9,https://fukui-night.com/store/store_cat/katamachi/#29,36.0662152,136.2148506
片町エリア,洋(イタリアン),Spuntino(スプンティーノ),隠れ家的レストランで楽しむ、福井のイタリアン,https://fukui-night.com/wp-content/uploads/2024/04/Spuntino.jpg,福井市順化2-20-17 セレクトシティ片町1F,18:00〜22:30,"5,000円～",16席,,0776-25-7211,https://maps.app.goo.gl/VLgBVPePybHpYmFr6,https://fukui-night.com/store/store_cat/katamachi/#30,36.06595,136.2150165
片町エリア,洋(フレンチ),北欧,落ち着いた雰囲気の中で、お箸で気軽にフレンチを。,https://fukui-night.com/wp-content/uploads/2024/04/北欧.jpg,福井市順化1-7-6,17:00〜22:00,"～10,000円",16席(カウンター8席/テーブル8席),,0776-22-7455,https://maps.app.goo.gl/FaUdsRPqoWAHPjg19,https://fukui-night.com/store/store_cat/katamachi/#31,36.064203,136.2149165
片町エリア,そば,天籠,本格自家製そばと、旬の食材の天麩羅で蕎麦屋飲みを,https://fukui-night.com/wp-content/uploads/2024/04/天籠.png,福井市順化2丁目19,18:00〜2:00,"4,000～5,000円",20席,個室あり,0776-29-1277,https://maps.app.goo.gl/H1zqYzbPGk9VbMTG6,https://fukui-night.com/store/store_cat/katamachi/#32,36.0662763,136.2144222
片町エリア,Bar,BAR Giorno(ジョルノ),福井内外の果物を使ったカクテル＆スイーツBAR。,https://fukui-night.com/wp-content/uploads/2024/04/Giorno.jpg,福井市順化1丁目17-29 SK館1F,20:00～4:00,"4,000~6,000円",24名,,0776-50-2715,https://maps.app.goo.gl/Q59u1kPKhCpPMTHi6,https://fukui-night.com/store/store_cat/katamachi/#33,36.0657101,136.2155311
片町エリア,Bar,Very Good Bar,落ち着きのある空間で大人の一杯を,https://fukui-night.com/wp-content/uploads/2024/04/Very-Good-Bar.jpg,福井市順化1-10-15 サエラビル2Ｆ,17:30〜0:00,"4,000～4,999円",30席,,0776-29-1171,https://maps.app.goo.gl/1JMQAXmwF2PKebC96,https://fukui-night.com/store/store_cat/katamachi/#34,36.0642676,136.216864
片町エリア,ラウンジ,Lounge Salon,,https://fukui-night.com/wp-content/uploads/2024/04/IMG_4911.jpg,福井市順化2-20-2 エルミオーレビル 2F,20:00〜1:00,"セット7,700円",35席,個室あり,0776-43-0810,https://maps.app.goo.gl/KnzCBanS3JH9XB3R9,https://fukui-night.com/store/store_cat/katamachi/#35,36.0657222,136.2148554
片町エリア,ラウンジ,楚々 soso,,https://fukui-night.com/wp-content/uploads/2024/04/楚々.png,福井市順化1-17-20 アミール片町 4F,19:30～0:30,"チャージ セット6,000円",27席,,0776-28-1601,https://maps.app.goo.gl/6KSosrP28iYsXFB5A,https://fukui-night.com/store/store_cat/katamachi/#36,36.0664669,136.2157313
片町エリア,ラウンジ,CLUB ROCHER,,https://fukui-night.com/wp-content/uploads/2024/04/CKUB-ROCHER.jpeg,福井市順化2丁目12-1 KT9ビル3F,19:30～0:30,"セット 7,000円",カウンター3席/BOX5/VIP3部屋,,0776-43-0234,https://maps.app.goo.gl/Zdbg46YHN3qJyzaC7,https://fukui-night.com/store/store_cat/katamachi/#37,36.0645411,136.2147007
片町エリア,ラウンジ,Vente Reine,,https://fukui-night.com/wp-content/uploads/2024/04/Vente-Reine.jpg,福井市馴化1-17-7 プランタン片町ビル1F,19:30～0:30,"セット 7,000円～",25席,,0776-24-3123,https://maps.app.goo.gl/3XPjP8afmJCG17zf7,https://fukui-night.com/store/store_cat/katamachi/#38,36.0657745,136.2153809
浜町エリア,和,紋や,地酒、地物食材、器も越前焼きを使用し、福井でしか味わえない、紋やでしか味わえないをテーマに日々精進してお客様を常にお迎えしております。,https://fukui-night.com/wp-content/uploads/2024/04/紋や.jpeg,福井市中央3丁目4-6 1F,18:00〜0:00,"5,000〜10,000円",22〜24席,,0776-23-0040,https://maps.app.goo.gl/BH2WReesjnqbGwqJA,https://fukui-night.com/store/store_cat/hamamachi/#1,36.062514,136.214583
浜町エリア,和,開花亭 sou-an,世界的建築家 隈研吾デザインの空間で愉しむ本格割烹,https://fukui-night.com/wp-content/uploads/2024/04/開花亭Sou-an.jpeg,福井市中央3-9-21,11:00〜14:00　17:30〜22:00,"昼 8,000円　夜 17,000円",60人,バリアフリー,0776-50-1070,https://maps.app.goo.gl/utw8wWwLughcQLL7A,https://fukui-night.com/store/store_cat/hamamachi/#2,36.0627577,136.2134113
浜町エリア,和,開花亭,地元の旬の魚介や野菜などの逸品料理や懐石が楽しめる割烹料亭,https://fukui-night.com/wp-content/uploads/2024/04/開花亭.jpg,福井市中央3丁目9-21,11:00〜14:00　17:30〜22:00,"10,000～15,000円",83席(テーブル55席/カウンター10席/座敷18席),個室あり,0776-23-1009,https://maps.app.goo.gl/V1rcUCR9NHc5ewDx5,https://fukui-night.com/store/store_cat/hamamachi/#3,36.0627269,136.2133659
浜町エリア,和,福の井 一乃松,越前の新鮮な海の幸を中心に、旬の食材を丁寧に仕上げる料理,https://fukui-night.com/wp-content/uploads/2024/04/一乃松.png,福井市中央3-12-24,18:00～22:00,"12,000～20,000円 コース料理のみ",カウンター8席　個室：テーブル椅子4人2室／6人2室、2F16席,個室あり,0776-25-5007,https://maps.app.goo.gl/hmgqG76yvWPfR7MK6,https://fukui-night.com/store/store_cat/hamamachi/#4,36.0623014,136.2152938
浜町エリア,和,割烹料亭 かき恭,厳選した素材だけを使い、一品一品丹精込めてつくりあげる旬の季節料理,https://fukui-night.com/wp-content/uploads/2024/04/かき恭.jpeg,福井市中央3-10-8,17:00～22:00,"15,000～20,000円",142席,個室あり,0776-23-0594,https://maps.app.goo.gl/xLU3sjcG6WHnk86y7,https://fukui-night.com/store/store_cat/hamamachi/#5,36.0620849,136.2142395
浜町エリア,和,旬味 泰平,移ろう四季を五感で感じる北陸を味わう和食割烹,https://fukui-night.com/wp-content/uploads/2024/04/泰平.jpg,福井市中央3丁目14-11,18:00〜21:00,"10,000～14,999円",30席(カウンター9席/テーブル6席/座敷15席/個室2室),個室あり,0776-25-4686,https://maps.app.goo.gl/kKp7hJhprhQ58DWm9,https://fukui-night.com/store/store_cat/hamamachi/#6,36.0614722,136.2161109
文京エリア,洋,Le jardin,世界NO.1 フレンチシェフのレストラン,https://fukui-night.com/wp-content/uploads/2024/04/ジャルダン.png,福井市文京4-28-16,11:30～15:30　18:00～23:00,"昼 7,500～12,000円 夜 22,000～50,000円",39席,個室、宴会場有,0776-29-0026,https://maps.app.goo.gl/z98d1yWU8VZGcZgq7,https://fukui-night.com/store/store_cat/bunkyo/#1,36.0797764,136.207757
